,title,Views,Uploaded_time,video_link,thumbnail_link
0,How to Attempt English Board Exam ????,173K views,3 days ago,https://www.youtube.com//watch?v=nX5ONgCdLcc,https://i.ytimg.com/vi/nX5ONgCdLcc/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBaa_KLfKyYbUYRsb5xf0YCp1YrlQ
1,Best technique to attempt SST paper in Board exam || Class 10th,56K views,4 days ago,https://www.youtube.com//watch?v=AM2Dt7cNebw,https://i.ytimg.com/vi/AM2Dt7cNebw/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBJHWHabeJ94dcUDlDDNfvQxnUfJg
2,Last Minute Strategy To Score More Than 98% || ICSE Boards || Class-10th,23K views,5 days ago,https://www.youtube.com//watch?v=7nMJVhey9TM,https://i.ytimg.com/vi/7nMJVhey9TM/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDHikOj7gH4eQNudv7c1qNbwcMWyA
3,Why You Should Choose Commerce After 10th? || Complete Information💯,29K views,6 days ago,https://www.youtube.com//watch?v=FSVVlcFUCMk,https://i.ytimg.com/vi/FSVVlcFUCMk/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAadJS9mLtZptLHtKHEefPgqk3NCg
4,Follow This Plan To Score More Than 95% in Boards || Topper's Strategy,317K views,11 days ago,https://www.youtube.com//watch?v=vKxdTuOirnI,https://i.ytimg.com/vi/vKxdTuOirnI/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBonfyIr0oe5WzFo2o2hoU5Yxbv8w
5,Everything About COMMERCE Stream !! Which Stream to Choose After Class 10th?,26K views,2 weeks ago,https://www.youtube.com//watch?v=hC86u4g6QPk,https://i.ytimg.com/vi/hC86u4g6QPk/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLD5AeHXmdOF3J-FoFIAYtmfh28ciQ
6,How to Attempt Maths Board Exam || Last Minute Strategy || Class-10th Boards,339K views,3 weeks ago,https://www.youtube.com//watch?v=7O5MY8Y1JCE,https://i.ytimg.com/vi/7O5MY8Y1JCE/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBH2cIH3mp1fEKJja5KVXiwRP3p4w
7,STATISTICS - MOST Important Questions || Class-10th,47K views,3 weeks ago,https://www.youtube.com//watch?v=01iTPgZGjvM,https://i.ytimg.com/vi/01iTPgZGjvM/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCQovRQnmXciwx7jzgAzqrj3UCdQg
8,SURFACE AREA & VOLUMES - MOST Important Questions || Class-10th,55K views,3 weeks ago,https://www.youtube.com//watch?v=pXjLbNAa_ag,https://i.ytimg.com/vi/pXjLbNAa_ag/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCen1qfPg4ypFCiezVWQrqIpEEbug
9,DOUBLE THEME - LONG QUESTIONS - Most Important Questions || Class-10th,85K views,3 weeks ago,https://www.youtube.com//watch?v=-abURVi907g,https://i.ytimg.com/vi/-abURVi907g/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCPJmTEEnsF3GekS0rakIpFVNDx2A
